frame_number,track_id,x,y,w,h,spoof_score,spoof_label
0,596,278,537,494,781,0.368,REAL
1,596,277,538,493,784,0.3695,REAL
2,596,277,542,493,785,0.3648,REAL
3,596,277,538,494,788,0.3741,REAL
4,596,277,538,495,790,0.3609,REAL
5,596,281,538,495,789,0.3681,REAL
6,596,285,539,493,788,0.3578,REAL
7,596,289,536,493,788,0.3672,REAL
8,596,292,537,492,786,0.3703,REAL
9,596,292,538,492,784,0.3673,REAL
10,596,292,538,491,783,0.3722,REAL
11,596,291,539,491,785,0.3653,REAL
12,596,290,540,491,784,0.3597,REAL
13,596,292,538,490,786,0.3608,REAL
14,596,294,534,490,790,0.3542,REAL
15,596,295,526,490,796,0.3575,REAL
16,596,299,518,488,804,0.3604,REAL
17,596,302,511,488,808,0.3587,REAL
18,596,307,510,488,807,0.3602,REAL
19,596,311,512,489,806,0.3601,REAL
20,596,314,514,489,804,0.3539,REAL
21,596,316,517,490,802,0.3659,REAL
22,596,317,519,489,803,0.3754,REAL
23,596,316,517,489,806,0.3818,REAL
24,596,312,517,489,807,0.3858,REAL
25,596,308,510,487,813,0.3816,REAL
26,596,302,510,486,818,0.3906,REAL
27,596,297,512,486,818,0.3809,REAL
28,596,293,512,486,818,0.3812,REAL
29,596,289,511,487,818,0.3823,REAL
30,596,287,512,488,819,0.3782,REAL
31,596,286,510,487,822,0.3758,REAL
32,596,285,509,488,822,0.372,REAL
33,596,284,507,487,824,0.379,REAL
34,596,283,506,487,827,0.3761,REAL
35,596,281,504,487,829,0.3734,REAL
36,596,280,504,488,830,0.3779,REAL
37,596,280,502,487,833,0.3819,REAL
38,596,279,503,487,834,0.3739,REAL
39,596,279,503,487,836,0.3827,REAL
40,596,278,501,487,837,0.3774,REAL
41,596,278,500,488,839,0.3764,REAL
42,596,281,497,487,843,0.3765,REAL
43,596,283,497,487,842,0.3757,REAL
44,596,285,499,487,838,0.376,REAL
45,596,287,501,487,835,0.3761,REAL
46,596,289,502,488,832,0.3797,REAL
47,596,291,504,487,830,0.3833,REAL
48,596,292,504,487,830,0.3884,REAL
49,596,294,505,487,828,0.3942,REAL
50,596,294,505,486,828,0.3896,REAL
51,596,294,506,486,827,0.3908,REAL
52,596,295,505,487,825,0.3896,REAL
53,596,296,507,487,822,0.3903,REAL
54,596,296,508,487,821,0.3875,REAL
55,596,296,508,487,819,0.391,REAL
56,596,296,510,487,817,0.3923,REAL
57,596,296,509,487,818,0.3954,REAL
58,596,296,510,486,819,0.3918,REAL
59,596,297,508,486,822,0.3874,REAL
60,596,293,499,485,828,0.3678,REAL
61,596,284,492,487,831,0.2991,REAL
62,596,276,463,486,829,0.3129,REAL
63,596,268,459,485,816,0.3025,REAL
64,596,253,456,477,806,0.3379,REAL
65,596,241,464,471,789,0.3508,REAL
66,596,232,474,465,764,0.3608,REAL
67,596,227,479,460,740,0.3937,REAL
68,596,225,483,455,716,0.4093,REAL
69,596,231,490,448,700,0.3941,REAL
70,596,237,503,443,688,0.3683,REAL
71,596,246,514,440,675,0.384,REAL
72,596,252,525,439,663,0.3862,REAL
73,596,257,532,439,652,0.377,REAL
74,596,261,537,438,644,0.3791,REAL
75,596,264,543,437,636,0.3775,REAL
76,596,264,546,437,630,0.3835,REAL
77,596,265,546,437,627,0.3811,REAL
78,596,262,545,437,624,0.3745,REAL
79,596,256,545,437,621,0.3515,REAL
80,596,251,542,438,621,0.3353,REAL
81,596,242,544,440,622,0.3114,REAL
82,596,232,546,444,627,0.2849,REAL
83,596,223,541,448,642,0.2384,FAKE
84,596,215,528,454,666,0.2434,FAKE
85,596,212,542,460,691,0.2217,FAKE
86,596,217,539,465,717,0.2504,REAL
87,596,224,533,468,744,0.3276,REAL
88,596,225,526,471,765,0.3364,REAL
89,596,215,518,476,779,0.3606,REAL
90,596,201,510,478,792,0.3361,REAL
91,596,174,507,481,801,0.2922,REAL
92,596,145,501,480,809,0.3383,REAL
93,596,116,498,477,817,0.3452,REAL
94,596,55,492,492,829,0.3326,REAL
95,596,29,485,483,839,0.3655,REAL
96,596,1,476,467,851,0.3683,REAL
114,597,815,935,155,282,0.006,FAKE
115,597,775,921,153,276,0.0049,FAKE
116,597,741,908,152,272,0.007,FAKE
117,597,721,894,148,265,0.0625,FAKE
118,597,716,886,144,259,0.0655,FAKE
119,597,721,880,143,257,0.0059,FAKE
120,597,732,875,143,250,0.0135,FAKE
121,597,750,869,142,247,0.0925,FAKE
122,597,766,865,140,241,0.1521,FAKE
123,597,777,867,140,236,0.1366,FAKE
124,597,783,872,140,234,0.1002,FAKE
125,597,785,881,140,233,0.0798,FAKE
126,597,784,888,141,234,0.0583,FAKE
127,597,780,894,140,237,0.0484,FAKE
128,597,772,897,139,238,0.0925,FAKE
129,597,758,896,138,237,0.0912,FAKE
130,597,740,896,138,241,0.0067,FAKE
131,597,717,893,139,246,0.0055,FAKE
132,597,699,892,138,246,0.0293,FAKE
133,597,689,894,136,245,0.0405,FAKE
134,597,685,898,134,243,0.0205,FAKE
135,597,687,902,133,241,0.1243,FAKE
136,597,689,915,134,243,0.1188,FAKE
137,597,695,929,133,239,0.1464,FAKE
138,597,706,951,133,239,0.0744,FAKE
139,597,724,966,133,239,0.0469,FAKE
140,597,751,976,132,236,0.0413,FAKE
141,597,780,991,134,242,0.0164,FAKE
142,597,806,999,136,243,0.026,FAKE
143,598,19,749,289,525,0.2397,FAKE
143,597,830,999,136,244,0.1891,FAKE
144,598,26,750,303,521,0.2639,REAL
144,597,844,998,137,245,0.1075,FAKE
145,598,26,748,308,517,0.2503,REAL
145,597,844,995,139,244,0.0406,FAKE
146,598,24,750,312,509,0.2946,REAL
146,597,839,984,139,241,0.089,FAKE
147,598,22,747,316,506,0.2859,REAL
147,597,834,978,139,240,0.1217,FAKE
148,598,21,745,318,501,0.2847,REAL
148,597,831,974,140,239,0.1072,FAKE
149,598,18,740,320,501,0.3058,REAL
149,597,828,970,140,238,0.1359,FAKE
150,598,9,745,325,488,0.2663,REAL
150,597,822,967,139,237,0.0766,FAKE
151,598,1,748,322,482,0.2827,REAL
151,597,815,965,137,238,0.1013,FAKE
152,598,0,753,315,478,0.3097,REAL
152,597,805,964,137,237,0.1459,FAKE
153,598,0,754,308,477,0.3205,REAL
153,597,799,964,137,237,0.1398,FAKE
154,598,1,756,302,475,0.3148,REAL
154,597,795,965,138,236,0.1539,FAKE
155,598,2,760,298,473,0.2963,REAL
155,597,795,965,137,236,0.1426,FAKE
156,598,3,759,296,474,0.2731,REAL
156,597,802,968,137,236,0.115,FAKE
157,598,3,760,297,474,0.2825,REAL
157,597,807,967,135,236,0.1526,FAKE
158,598,3,763,300,471,0.2797,REAL
158,597,812,969,135,239,0.1498,FAKE
159,598,3,763,304,468,0.2683,REAL
159,597,815,971,136,239,0.1487,FAKE
160,598,2,761,307,469,0.2779,REAL
160,597,818,973,136,241,0.1731,FAKE
161,598,3,760,312,468,0.2731,REAL
161,597,820,974,137,242,0.1692,FAKE
162,598,5,763,318,464,0.2764,REAL
162,597,824,973,139,242,0.16,FAKE
163,598,4,765,323,461,0.2809,REAL
163,597,827,974,140,240,0.189,FAKE
164,598,10,761,322,468,0.2833,REAL
164,597,832,976,141,238,0.1932,FAKE
165,598,12,758,322,474,0.2726,REAL
165,597,837,978,141,237,0.1692,FAKE
166,598,13,757,323,479,0.2717,REAL
166,597,844,978,141,236,0.1619,FAKE
167,598,14,755,325,480,0.2653,REAL
167,597,848,978,140,238,0.1507,FAKE
168,598,13,755,327,479,0.2686,REAL
168,597,852,979,140,239,0.1622,FAKE
169,598,13,755,329,478,0.27,REAL
169,597,853,979,140,240,0.1492,FAKE
170,598,13,755,329,480,0.2743,REAL
170,597,852,979,140,240,0.1496,FAKE
171,598,13,756,327,481,0.2762,REAL
171,597,851,980,140,240,0.1466,FAKE
172,598,13,755,326,483,0.287,REAL
172,597,849,981,140,237,0.152,FAKE
173,598,13,755,325,483,0.2839,REAL
173,597,848,983,141,233,0.1414,FAKE
174,598,13,755,323,484,0.2883,REAL
174,597,842,984,141,232,0.1587,FAKE
175,598,15,755,320,485,0.2943,REAL
175,597,840,984,142,233,0.1682,FAKE
176,598,15,754,317,486,0.2965,REAL
176,597,838,984,142,232,0.1713,FAKE
177,598,9,756,324,476,0.2877,REAL
177,597,837,983,143,232,0.1625,FAKE
178,598,6,759,329,470,0.2989,REAL
178,597,837,982,143,233,0.1843,FAKE
179,598,3,762,332,465,0.292,REAL
179,597,837,982,143,233,0.173,FAKE
180,598,9,759,326,471,0.2923,REAL
180,597,842,983,143,231,0.1717,FAKE
181,598,12,757,322,477,0.286,REAL
181,597,845,982,143,232,0.1676,FAKE
182,598,13,754,320,481,0.2743,REAL
182,597,848,981,142,233,0.1722,FAKE
183,598,14,754,321,483,0.2701,REAL
183,597,852,980,141,236,0.1688,FAKE
184,598,15,757,324,480,0.2531,REAL
184,597,858,979,141,239,0.1524,FAKE
185,598,15,762,328,476,0.23,FAKE
185,597,866,977,142,239,0.1557,FAKE
186,598,16,768,331,475,0.1906,FAKE
186,597,881,979,144,239,0.0953,FAKE
187,598,19,775,337,472,0.1736,FAKE
187,597,898,992,147,245,0.075,FAKE
188,598,42,781,340,470,0.1653,FAKE
188,597,923,998,145,250,0.0267,FAKE
189,598,70,798,345,472,0.1605,FAKE
189,597,951,1008,132,252,0.0123,FAKE
190,598,93,807,349,472,0.153,FAKE
191,598,128,816,354,475,0.147,FAKE
192,598,181,821,352,481,0.1626,FAKE
193,598,230,824,349,488,0.1367,FAKE
194,598,282,820,352,506,0.1301,FAKE
195,598,328,822,361,514,0.146,FAKE
196,598,381,821,372,530,0.1484,FAKE
197,598,413,816,387,543,0.1461,FAKE
198,598,439,806,403,556,0.1894,FAKE
199,598,462,792,417,572,0.2167,FAKE
200,598,472,776,436,594,0.2123,FAKE
201,598,476,757,448,615,0.2273,FAKE
202,598,474,732,459,645,0.2256,FAKE
203,598,470,689,471,673,0.2502,REAL
204,598,461,655,481,699,0.2736,REAL
205,598,449,630,486,728,0.2416,FAKE
206,598,410,614,510,759,0.2975,REAL
207,598,375,600,527,786,0.2917,REAL
208,598,343,584,540,809,0.277,REAL
209,598,304,575,546,824,0.3499,REAL
210,598,269,570,551,839,0.3576,REAL
211,598,242,568,554,852,0.3604,REAL
212,598,215,566,551,857,0.3977,REAL
213,598,198,566,550,859,0.3964,REAL
214,598,192,567,548,862,0.3984,REAL
215,598,189,569,548,867,0.3887,REAL
216,598,190,568,548,871,0.3817,REAL
217,598,193,567,547,876,0.3915,REAL
218,598,197,568,544,875,0.3942,REAL
219,598,201,567,543,877,0.3967,REAL
220,598,204,567,542,876,0.3935,REAL
221,598,206,567,541,873,0.3926,REAL
222,598,206,566,541,869,0.386,REAL
223,598,208,566,541,863,0.3856,REAL
224,598,211,566,540,859,0.3796,REAL
225,598,213,564,538,857,0.3809,REAL
226,598,238,559,522,857,0.3908,REAL
227,598,240,556,529,865,0.3952,REAL
228,598,240,554,534,869,0.3863,REAL
229,598,252,557,521,862,0.3868,REAL
