frame_number,track_id,x,y,w,h,spoof_score,spoof_label
0,581,679,1531,341,401,0.2037,FAKE
0,580,372,464,383,631,0.4196,REAL
1,581,664,1502,344,422,0.2044,FAKE
1,580,372,474,382,622,0.5068,REAL
2,581,641,1464,341,443,0.2034,FAKE
2,580,372,481,380,614,0.493,REAL
3,581,629,1438,333,459,0.1909,FAKE
3,580,370,479,381,615,0.4425,REAL
4,581,616,1409,326,473,0.1858,FAKE
4,580,374,487,379,605,0.4761,REAL
5,581,607,1373,319,477,0.1916,FAKE
5,580,376,492,378,597,0.4439,REAL
6,581,603,1353,313,475,0.1901,FAKE
6,580,379,492,378,593,0.5266,REAL
7,581,598,1328,311,479,0.1854,FAKE
7,580,381,487,377,585,0.5234,REAL
8,581,587,1298,304,474,0.1947,FAKE
8,580,382,486,377,581,0.5274,REAL
9,581,582,1279,298,467,0.196,FAKE
9,580,380,484,378,578,0.5036,REAL
10,581,577,1263,296,462,0.2078,FAKE
10,580,379,479,379,577,0.5075,REAL
11,581,570,1253,294,459,0.1912,FAKE
11,580,377,477,381,574,0.4864,REAL
12,581,568,1230,287,454,0.2018,FAKE
12,580,371,472,388,567,0.522,REAL
13,581,567,1221,282,450,0.2192,FAKE
13,580,367,470,390,566,0.5119,REAL
14,581,559,1216,278,447,0.2158,FAKE
14,580,364,466,392,567,0.5024,REAL
15,581,558,1214,275,444,0.2177,FAKE
15,580,366,443,389,572,0.4855,REAL
16,581,558,1211,274,443,0.2233,FAKE
16,580,369,434,386,576,0.4968,REAL
17,581,569,1214,273,444,0.2277,FAKE
17,580,369,429,385,579,0.5449,REAL
18,581,574,1210,273,447,0.2222,FAKE
18,580,371,426,383,580,0.5268,REAL
19,581,576,1202,273,450,0.202,FAKE
19,580,373,425,382,579,0.5079,REAL
20,581,577,1193,271,449,0.2103,FAKE
20,580,374,424,380,581,0.5204,REAL
21,581,579,1188,268,447,0.2179,FAKE
21,580,376,424,378,582,0.503,REAL
22,581,580,1186,265,446,0.2202,FAKE
22,580,378,424,378,582,0.5133,REAL
23,581,580,1172,262,442,0.2283,FAKE
23,580,379,425,376,583,0.5097,REAL
24,581,572,1168,259,433,0.221,FAKE
24,580,380,426,376,582,0.4541,REAL
25,581,570,1170,257,427,0.2203,FAKE
25,580,380,428,374,580,0.5166,REAL
26,581,570,1168,255,425,0.2256,FAKE
26,580,377,451,380,574,0.5139,REAL
27,581,568,1167,254,424,0.2081,FAKE
27,580,378,440,379,571,0.5218,REAL
28,581,565,1163,253,420,0.2058,FAKE
28,580,380,434,377,571,0.4887,REAL
29,581,566,1160,252,415,0.2015,FAKE
29,580,382,431,376,570,0.5072,REAL
30,581,566,1156,252,412,0.2049,FAKE
30,580,395,430,379,562,0.4456,REAL
31,581,566,1152,253,409,0.1994,FAKE
31,580,399,431,382,553,0.4525,REAL
32,581,566,1144,252,405,0.1899,FAKE
32,580,403,430,385,549,0.3742,REAL
33,581,566,1141,251,399,0.1958,FAKE
33,580,403,429,387,547,0.3666,REAL
34,581,568,1123,247,401,0.2003,FAKE
34,580,403,430,390,542,0.3777,REAL
35,581,566,1116,243,397,0.1962,FAKE
35,580,403,428,393,538,0.3947,REAL
36,581,566,1115,240,392,0.2115,FAKE
36,580,402,428,395,537,0.3938,REAL
37,581,567,1117,238,389,0.2268,FAKE
37,580,401,427,396,538,0.3974,REAL
38,581,570,1118,237,385,0.2302,FAKE
38,580,403,423,395,539,0.3891,REAL
39,581,576,1117,236,382,0.2606,REAL
39,580,404,420,395,543,0.3788,REAL
40,581,577,1115,239,378,0.2447,FAKE
40,580,405,420,395,545,0.3827,REAL
41,581,577,1113,240,373,0.2248,FAKE
41,580,405,418,397,545,0.3602,REAL
42,581,585,1108,240,368,0.2255,FAKE
42,580,405,415,399,550,0.3457,REAL
43,581,596,1109,241,365,0.2322,FAKE
43,580,407,414,400,554,0.3681,REAL
44,581,610,1115,240,360,0.2522,REAL
44,580,411,418,401,558,0.4143,REAL
45,581,627,1122,244,361,0.2188,FAKE
45,580,414,423,400,564,0.4172,REAL
46,581,644,1143,247,365,0.2128,FAKE
46,580,417,425,402,568,0.4513,REAL
47,581,663,1153,251,374,0.2145,FAKE
47,580,420,425,404,569,0.5094,REAL
48,581,678,1171,256,374,0.2211,FAKE
48,580,422,425,404,574,0.4749,REAL
49,581,698,1188,260,377,0.2112,FAKE
49,580,423,425,404,581,0.5076,REAL
50,581,709,1214,272,381,0.1979,FAKE
50,580,425,425,406,587,0.5315,REAL
51,581,720,1231,277,387,0.211,FAKE
51,580,425,444,408,592,0.6016,REAL
52,581,734,1248,281,391,0.2113,FAKE
52,580,424,450,411,599,0.6253,REAL
53,581,740,1254,283,399,0.2059,FAKE
53,580,425,451,413,604,0.6015,REAL
54,581,741,1257,285,402,0.2025,FAKE
54,580,424,451,415,606,0.6049,REAL
55,581,730,1254,286,408,0.2015,FAKE
55,580,421,450,418,609,0.6245,REAL
56,581,719,1257,288,407,0.2054,FAKE
56,580,417,449,419,614,0.6231,REAL
57,581,706,1261,290,405,0.2058,FAKE
57,580,413,448,420,625,0.5663,REAL
58,581,688,1260,290,408,0.2081,FAKE
58,580,409,451,421,627,0.5669,REAL
59,581,674,1279,295,405,0.2126,FAKE
59,580,407,454,421,627,0.5824,REAL
60,581,662,1285,301,409,0.2087,FAKE
60,580,405,455,421,624,0.5434,REAL
61,581,655,1290,304,415,0.207,FAKE
61,580,405,456,421,623,0.5604,REAL
62,581,653,1300,306,416,0.2165,FAKE
62,580,406,457,423,628,0.5685,REAL
63,581,652,1306,307,417,0.2256,FAKE
63,580,406,454,425,631,0.5674,REAL
64,581,649,1311,310,416,0.2217,FAKE
64,580,406,452,425,633,0.5612,REAL
65,581,649,1313,309,417,0.2047,FAKE
65,580,404,449,425,635,0.5755,REAL
66,581,647,1311,310,418,0.2071,FAKE
66,580,403,446,425,638,0.5609,REAL
67,581,645,1309,311,422,0.2088,FAKE
67,580,401,444,425,636,0.5536,REAL
68,581,644,1302,310,425,0.2048,FAKE
68,580,401,442,424,636,0.5738,REAL
69,581,645,1294,310,429,0.2113,FAKE
69,580,401,441,425,634,0.5924,REAL
70,581,644,1290,314,431,0.2066,FAKE
70,580,402,441,425,634,0.6405,REAL
71,581,643,1285,315,434,0.2064,FAKE
71,580,402,441,425,633,0.6057,REAL
72,581,643,1283,317,435,0.1943,FAKE
72,580,402,440,425,637,0.5689,REAL
73,581,645,1283,319,438,0.2055,FAKE
73,580,402,439,425,636,0.6208,REAL
74,581,644,1275,322,442,0.1968,FAKE
74,580,403,437,425,635,0.611,REAL
75,581,647,1255,316,441,0.2074,FAKE
75,580,406,414,425,632,0.5717,REAL
76,581,648,1245,313,444,0.2132,FAKE
76,580,407,405,423,630,0.5687,REAL
77,581,647,1241,311,440,0.2217,FAKE
77,580,407,403,423,629,0.555,REAL
78,581,645,1238,307,439,0.2182,FAKE
78,580,405,423,423,632,0.6213,REAL
79,581,643,1240,306,436,0.2171,FAKE
79,580,403,431,424,633,0.6525,REAL
80,581,642,1258,306,439,0.2083,FAKE
80,580,400,434,426,635,0.5709,REAL
81,581,633,1267,306,438,0.2096,FAKE
81,580,399,434,426,636,0.6143,REAL
82,581,629,1271,306,438,0.2272,FAKE
82,580,398,413,428,635,0.5312,REAL
83,581,627,1274,306,437,0.1956,FAKE
83,580,400,401,428,637,0.4853,REAL
84,581,626,1272,307,435,0.211,FAKE
84,580,401,391,428,637,0.5213,REAL
85,581,624,1254,304,435,0.2103,FAKE
85,580,401,385,427,639,0.5412,REAL
86,581,621,1244,303,438,0.2216,FAKE
86,580,399,381,428,637,0.5368,REAL
87,581,619,1242,302,436,0.2115,FAKE
87,580,395,375,429,636,0.4769,REAL
88,581,615,1239,302,439,0.2261,FAKE
88,580,390,377,428,636,0.5268,REAL
89,581,613,1240,301,440,0.2248,FAKE
