frame_number,track_id,x,y,w,h,spoof_score,spoof_label
0,572,442,362,161,228,0.1701,FAKE
1,572,442,359,163,232,0.1759,FAKE
2,572,441,360,165,233,0.1875,FAKE
3,572,439,362,166,234,0.1851,FAKE
4,572,439,365,167,234,0.1829,FAKE
5,572,436,368,170,234,0.1729,FAKE
6,572,428,370,172,236,0.1832,FAKE
7,572,425,374,172,236,0.1823,FAKE
8,572,421,380,173,240,0.1967,FAKE
9,572,419,388,174,244,0.1969,FAKE
10,572,418,394,174,246,0.2063,FAKE
11,572,418,400,175,246,0.204,FAKE
12,572,416,407,177,245,0.1956,FAKE
13,572,415,411,177,243,0.1894,FAKE
14,572,416,420,175,245,0.1927,FAKE
15,572,418,430,175,247,0.1923,FAKE
16,572,419,441,176,247,0.1891,FAKE
17,572,421,449,176,247,0.1858,FAKE
18,572,421,465,177,250,0.1744,FAKE
19,572,420,482,179,249,0.135,FAKE
20,572,419,501,178,252,0.1264,FAKE
21,572,418,517,179,254,0.1496,FAKE
22,572,418,528,180,255,0.1597,FAKE
23,572,417,545,181,259,0.1702,FAKE
24,572,416,559,181,256,0.1673,FAKE
25,572,415,570,182,255,0.1615,FAKE
26,572,414,576,182,253,0.1557,FAKE
27,572,411,586,182,257,0.1627,FAKE
28,572,407,588,184,260,0.1908,FAKE
29,572,401,579,185,260,0.1701,FAKE
30,572,393,575,186,260,0.1488,FAKE
31,572,385,569,187,261,0.1164,FAKE
32,572,380,558,187,266,0.1201,FAKE
33,572,373,548,190,268,0.1335,FAKE
34,572,369,532,191,266,0.1221,FAKE
35,572,367,521,191,267,0.1264,FAKE
36,572,364,512,191,266,0.136,FAKE
37,572,362,503,194,264,0.1444,FAKE
38,572,361,490,195,262,0.1476,FAKE
39,572,361,478,194,262,0.1522,FAKE
40,572,362,470,192,263,0.1585,FAKE
41,572,365,460,192,263,0.1651,FAKE
42,572,369,447,190,263,0.1783,FAKE
43,572,374,440,189,264,0.187,FAKE
44,572,380,435,187,263,0.1892,FAKE
45,572,388,429,185,261,0.184,FAKE
46,572,392,424,184,261,0.1896,FAKE
47,572,395,420,183,259,0.1884,FAKE
48,572,396,417,181,257,0.1832,FAKE
49,572,400,416,179,255,0.1825,FAKE
50,572,408,410,179,250,0.1661,FAKE
51,572,413,408,177,247,0.1675,FAKE
52,572,418,409,177,244,0.1671,FAKE
53,572,422,410,176,239,0.1636,FAKE
