frame_number,track_id,x,y,w,h,spoof_score,spoof_label
0,595,645,1057,127,204,0.3547,REAL
0,594,117,731,455,751,0.8407,REAL
1,595,639,1057,121,209,0.3091,REAL
1,594,118,731,448,749,0.8473,REAL
2,595,637,1049,119,206,0.3836,REAL
2,594,118,730,447,754,0.852,REAL
3,595,635,1042,119,209,0.4154,REAL
3,594,119,728,448,755,0.8628,REAL
4,595,635,1039,121,211,0.4275,REAL
4,594,120,728,448,755,0.8543,REAL
5,595,638,1038,121,214,0.458,REAL
5,594,119,726,447,753,0.8498,REAL
6,595,639,1036,120,215,0.4637,REAL
6,594,119,728,448,752,0.8603,REAL
7,595,645,1033,122,211,0.414,REAL
7,594,119,728,449,751,0.8655,REAL
8,595,652,1029,127,214,0.3861,REAL
8,594,117,727,451,751,0.8594,REAL
9,595,663,1030,132,213,0.3357,REAL
9,594,115,728,454,750,0.8542,REAL
10,595,680,1031,136,217,0.3385,REAL
10,594,115,727,458,751,0.8615,REAL
11,595,694,1040,141,225,0.2713,REAL
11,594,115,727,462,751,0.8647,REAL
12,595,705,1049,146,227,0.3058,REAL
12,594,114,728,464,752,0.8588,REAL
13,595,718,1055,150,230,0.2638,REAL
13,594,114,728,466,751,0.8578,REAL
14,595,728,1072,156,238,0.2465,FAKE
14,594,114,728,468,751,0.86,REAL
15,595,749,1081,159,245,0.2322,FAKE
15,594,114,727,470,752,0.8697,REAL
16,595,769,1094,162,250,0.2533,REAL
16,594,114,728,471,754,0.8588,REAL
17,595,794,1101,167,259,0.2162,FAKE
17,594,115,726,471,756,0.8681,REAL
18,595,808,1097,177,282,0.2385,FAKE
18,594,115,726,470,756,0.8732,REAL
19,595,828,1094,182,300,0.2558,REAL
19,594,113,725,470,757,0.8666,REAL
20,595,843,1086,191,321,0.2949,REAL
20,594,114,725,470,758,0.882,REAL
21,595,848,1098,203,328,0.2333,FAKE
21,594,113,725,470,759,0.8748,REAL
22,595,857,1099,210,339,0.227,FAKE
22,594,112,725,471,759,0.8777,REAL
23,595,864,1102,214,347,0.2141,FAKE
23,594,112,725,471,760,0.8798,REAL
24,595,870,1108,214,349,0.2285,FAKE
24,594,113,723,471,761,0.89,REAL
25,595,873,1114,214,352,0.2397,FAKE
25,594,113,722,470,761,0.8813,REAL
26,595,874,1117,213,355,0.2371,FAKE
26,594,112,722,471,760,0.8762,REAL
27,595,877,1118,212,357,0.2367,FAKE
27,594,112,722,471,761,0.8777,REAL
28,595,880,1114,209,361,0.2319,FAKE
28,594,110,721,472,761,0.8796,REAL
29,595,881,1109,207,364,0.2178,FAKE
29,594,109,722,473,761,0.876,REAL
30,595,876,1103,209,365,0.2158,FAKE
30,594,108,722,474,761,0.8766,REAL
31,595,867,1096,214,371,0.2065,FAKE
31,594,107,721,475,760,0.8888,REAL
32,595,849,1093,221,374,0.2207,FAKE
32,594,107,722,475,761,0.8843,REAL
33,595,835,1088,230,376,0.2078,FAKE
33,594,107,721,475,759,0.8813,REAL
34,595,818,1084,239,379,0.2161,FAKE
34,594,107,722,475,760,0.8811,REAL
35,595,806,1082,243,382,0.2291,FAKE
35,594,108,722,475,761,0.8845,REAL
36,595,791,1082,244,376,0.2205,FAKE
36,594,109,723,475,761,0.8905,REAL
37,595,780,1081,245,373,0.2125,FAKE
37,594,108,725,475,761,0.8908,REAL
38,595,767,1078,247,375,0.2213,FAKE
38,594,107,725,476,761,0.8912,REAL
39,595,758,1079,246,376,0.2159,FAKE
39,594,107,726,476,761,0.8918,REAL
40,595,748,1083,244,370,0.2132,FAKE
40,594,107,723,477,761,0.8885,REAL
41,595,743,1084,244,367,0.2013,FAKE
41,594,107,724,477,760,0.8973,REAL
42,595,739,1062,244,377,0.2237,FAKE
42,594,107,724,476,760,0.8942,REAL
43,595,736,1052,243,381,0.2164,FAKE
43,594,105,724,476,760,0.8963,REAL
44,595,733,1047,244,384,0.2211,FAKE
44,594,105,724,476,760,0.8975,REAL
45,595,730,1043,246,386,0.2208,FAKE
45,594,105,724,477,759,0.8977,REAL
46,595,727,1042,248,388,0.2196,FAKE
46,594,105,724,475,760,0.8893,REAL
47,595,722,1040,250,390,0.2216,FAKE
47,594,105,724,475,760,0.884,REAL
48,595,717,1039,252,390,0.2162,FAKE
48,594,107,724,474,760,0.8896,REAL
49,595,713,1038,254,391,0.214,FAKE
49,594,107,724,473,760,0.8888,REAL
50,595,711,1036,256,390,0.2123,FAKE
50,594,107,724,471,760,0.8835,REAL
51,595,707,1031,256,387,0.1996,FAKE
51,594,106,721,470,759,0.8835,REAL
52,595,701,1025,252,381,0.1891,FAKE
52,594,107,721,469,759,0.8908,REAL
53,595,698,1019,247,377,0.1943,FAKE
53,594,107,721,467,758,0.8773,REAL
54,595,698,1018,245,373,0.195,FAKE
54,594,107,723,465,756,0.8886,REAL
55,595,698,1017,244,371,0.2002,FAKE
55,594,108,724,464,755,0.8826,REAL
56,595,699,1016,243,371,0.1868,FAKE
56,594,109,724,462,755,0.8815,REAL
57,595,699,1016,243,370,0.1816,FAKE
57,594,110,724,461,756,0.8835,REAL
58,595,699,1014,243,370,0.1755,FAKE
58,594,111,723,460,755,0.8827,REAL
59,595,698,1014,242,364,0.1869,FAKE
59,594,111,723,459,754,0.874,REAL
60,595,695,1010,240,363,0.186,FAKE
60,594,111,724,457,753,0.8757,REAL
61,595,688,993,236,368,0.2223,FAKE
61,594,99,724,456,754,0.8616,REAL
62,595,682,984,233,373,0.2402,FAKE
62,594,92,721,453,757,0.8588,REAL
63,595,681,978,229,376,0.2371,FAKE
63,594,90,720,449,760,0.8529,REAL
64,595,668,970,230,381,0.2073,FAKE
64,594,89,719,446,763,0.8382,REAL
65,595,661,963,234,379,0.1662,FAKE
65,594,88,718,442,764,0.8374,REAL
66,595,655,958,240,376,0.1841,FAKE
66,594,88,717,439,765,0.8485,REAL
67,595,670,941,236,379,0.1706,FAKE
67,594,90,718,438,767,0.8296,REAL
68,595,674,913,237,384,0.2491,FAKE
68,594,92,721,439,768,0.7975,REAL
69,595,678,895,241,385,0.2084,FAKE
69,594,93,726,441,768,0.7877,REAL
70,595,680,882,243,382,0.2129,FAKE
70,594,95,731,442,767,0.7842,REAL
71,595,676,876,245,381,0.2179,FAKE
71,594,93,732,442,769,0.8103,REAL
72,595,673,866,245,384,0.2402,FAKE
72,594,91,735,441,774,0.8071,REAL
73,595,662,861,248,384,0.2098,FAKE
73,594,89,736,439,779,0.8175,REAL
74,595,656,855,253,388,0.2002,FAKE
74,594,88,739,437,789,0.8032,REAL
75,595,662,845,255,396,0.202,FAKE
75,594,89,739,436,799,0.8101,REAL
76,595,665,824,258,402,0.2223,FAKE
76,594,91,739,436,807,0.7978,REAL
77,595,666,811,259,406,0.235,FAKE
77,594,92,738,435,814,0.7975,REAL
78,595,655,802,262,403,0.2228,FAKE
78,594,92,736,433,820,0.7913,REAL
79,595,646,797,265,399,0.2305,FAKE
79,594,92,736,429,826,0.7822,REAL
80,595,634,792,267,399,0.2488,FAKE
80,594,92,733,424,830,0.7938,REAL
81,595,627,787,266,400,0.2385,FAKE
81,594,92,732,419,835,0.8059,REAL
82,595,625,784,265,400,0.2333,FAKE
82,594,93,730,416,837,0.8029,REAL
83,595,623,781,263,401,0.2223,FAKE
83,594,94,727,412,838,0.7953,REAL
84,595,623,777,261,401,0.2078,FAKE
84,594,96,725,410,839,0.7927,REAL
85,595,622,771,258,403,0.2041,FAKE
85,594,96,725,409,841,0.8108,REAL
86,595,612,771,259,398,0.1948,FAKE
86,594,96,724,406,842,0.8035,REAL
87,595,607,754,259,395,0.1903,FAKE
87,594,95,723,404,844,0.8105,REAL
88,595,605,745,259,392,0.1853,FAKE
88,594,97,723,403,845,0.809,REAL
89,595,602,732,260,385,0.1811,FAKE
89,594,97,722,403,845,0.7982,REAL
90,595,603,720,258,382,0.1772,FAKE
90,594,99,724,403,847,0.7688,REAL
91,595,605,713,256,380,0.1791,FAKE
91,594,99,724,403,848,0.7645,REAL
92,595,605,711,255,379,0.1902,FAKE
92,594,99,725,404,850,0.7599,REAL
93,595,608,716,253,377,0.189,FAKE
93,594,99,724,403,853,0.7749,REAL
94,595,611,721,252,374,0.1835,FAKE
94,594,100,724,403,857,0.7689,REAL
95,595,613,726,252,373,0.1897,FAKE
95,594,100,723,405,858,0.7722,REAL
96,595,622,725,250,376,0.1884,FAKE
96,594,101,723,406,859,0.763,REAL
97,595,627,724,251,379,0.197,FAKE
97,594,102,720,408,857,0.7498,REAL
98,595,631,722,251,381,0.1924,FAKE
98,594,103,722,409,853,0.753,REAL
99,595,639,721,251,381,0.1879,FAKE
99,594,105,723,411,850,0.7619,REAL
